hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0003,B02682,B02682,2021-01-01T00:28:09.000Z,2021-01-01T00:31:42.000Z,2021-01-01T00:33:44.000Z,2021-01-01T00:49:07.000Z,230,166,5.26,923,22.28,0.0,0.67,1.98,2.75,,0.0,14.99,N,N,"",N,N
HV0003,B02682,B02682,2021-01-01T00:45:56.000Z,2021-01-01T00:55:19.000Z,2021-01-01T00:55:19.000Z,2021-01-01T01:18:21.000Z,152,167,3.65,1382,18.36,0.0,0.55,1.63,0.0,,0.0,17.06,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:21:15.000Z,2021-01-01T00:22:41.000Z,2021-01-01T00:23:56.000Z,2021-01-01T00:38:05.000Z,233,142,3.51,849,14.05,0.0,0.48,1.25,2.75,,0.94,12.98,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:39:12.000Z,2021-01-01T00:42:37.000Z,2021-01-01T00:42:51.000Z,2021-01-01T00:45:50.000Z,142,143,0.74,179,7.91,0.0,0.24,0.7,2.75,,0.0,7.41,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:46:11.000Z,2021-01-01T00:47:17.000Z,2021-01-01T00:48:14.000Z,2021-01-01T01:08:42.000Z,143,78,9.2,1228,27.11,0.0,0.81,2.41,2.75,,0.0,22.44,N,N,"",N,N
HV0005,B02510,,2021-01-01T00:04:00.000Z,,2021-01-01T00:06:59.000Z,2021-01-01T00:43:01.000Z,88,42,9.725,2162,28.11,0.0,0.84,2.49,2.75,,0.0,28.9,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:40:06.000Z,,2021-01-01T00:50:00.000Z,2021-01-01T01:04:57.000Z,42,151,2.469,897,25.03,0.0,0.75,2.22,0.0,,0.0,15.01,N,N,N,N,N
HV0003,B02764,B02764,2021-01-01T00:10:36.000Z,2021-01-01T00:12:28.000Z,2021-01-01T00:14:30.000Z,2021-01-01T00:50:27.000Z,71,226,13.53,2157,29.67,0.0,1.04,3.08,0.0,,0.0,34.2,N,N,"",N,N
HV0003,B02875,B02875,2021-01-01T00:21:17.000Z,2021-01-01T00:22:25.000Z,2021-01-01T00:22:54.000Z,2021-01-01T00:30:20.000Z,112,255,1.6,446,6.89,0.0,0.21,0.61,0.0,,0.0,6.26,N,N,"",N,N
HV0003,B02875,B02875,2021-01-01T00:36:57.000Z,2021-01-01T00:38:09.000Z,2021-01-01T00:40:12.000Z,2021-01-01T00:53:31.000Z,255,232,3.2,800,11.51,0.0,0.53,1.03,2.75,,2.82,10.99,N,N,"",N,N
HV0003,B02875,B02875,2021-01-01T00:53:31.000Z,2021-01-01T00:56:21.000Z,2021-01-01T00:56:45.000Z,2021-01-01T01:17:42.000Z,232,198,5.74,1257,17.18,0.0,0.52,1.52,2.75,,0.0,17.61,N,N,"",N,N
HV0003,B02835,B02835,2021-01-01T00:22:58.000Z,2021-01-01T00:27:01.000Z,2021-01-01T00:29:04.000Z,2021-01-01T00:36:27.000Z,113,48,1.8,443,8.18,0.0,0.25,0.73,2.75,,0.0,6.12,N,N,"",N,N
HV0003,B02835,B02835,2021-01-01T00:46:44.000Z,2021-01-01T00:47:49.000Z,2021-01-01T00:48:56.000Z,2021-01-01T00:59:12.000Z,239,75,2.9,616,13.1,0.0,0.45,1.17,2.75,,0.94,8.77,N,N,"",N,N
HV0004,B02800,,2021-01-01T00:12:50.000Z,,2021-01-01T00:15:24.000Z,2021-01-01T00:38:31.000Z,181,237,9.66,1387,32.95,0.0,0.0,2.34,2.75,,0.0,21.1,N,N,N,N,N
HV0004,B02800,,2021-01-01T00:35:32.000Z,,2021-01-01T00:45:00.000Z,2021-01-01T01:06:45.000Z,236,68,4.38,1305,22.91,0.0,0.0,1.63,2.75,,3.43,15.82,N,N,N,N,N
HV0003,B02682,B02682,2021-01-01T00:10:22.000Z,2021-01-01T00:11:03.000Z,2021-01-01T00:11:53.000Z,2021-01-01T00:18:06.000Z,256,148,2.03,373,7.84,0.0,0.42,0.7,2.75,,2.82,6.93,N,N,"",N,N
HV0003,B02682,B02682,2021-01-01T00:25:00.000Z,2021-01-01T00:26:31.000Z,2021-01-01T00:28:31.000Z,2021-01-01T00:41:40.000Z,79,80,3.08,789,13.2,0.0,0.4,1.17,2.75,,0.0,11.54,N,N,"",N,N
HV0003,B02682,B02682,2021-01-01T00:44:56.000Z,2021-01-01T00:49:55.000Z,2021-01-01T00:50:49.000Z,2021-01-01T00:55:59.000Z,17,217,1.17,310,7.91,0.0,0.24,0.7,0.0,,0.0,6.94,N,N,"",N,N
HV0005,B02510,,2021-01-01T00:05:04.000Z,,2021-01-01T00:08:40.000Z,2021-01-01T00:39:39.000Z,62,29,10.852,1859,31.18,0.0,0.94,2.77,0.0,,0.0,27.61,N,N,N,N,N
HV0003,B02836,B02836,2021-01-01T00:40:44.000Z,2021-01-01T00:53:34.000Z,2021-01-01T00:53:48.000Z,2021-01-01T01:11:40.000Z,22,22,3.52,1072,28.67,0.0,0.86,2.54,0.0,,0.0,17.64,N,N,"",N,N
HV0005,B02510,,2021-01-01T00:11:57.000Z,,2021-01-01T00:22:24.000Z,2021-01-01T00:36:23.000Z,92,191,5.864,839,19.82,0.0,0.59,1.76,0.0,,0.0,13.54,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:30:51.000Z,,2021-01-01T00:40:55.000Z,2021-01-01T00:52:38.000Z,191,203,4.906,703,15.79,0.0,0.47,1.4,0.0,,0.0,11.33,N,N,N,N,N
HV0003,B02836,B02836,2021-01-01T00:34:46.000Z,2021-01-01T00:36:10.000Z,2021-01-01T00:36:21.000Z,2021-01-01T00:57:41.000Z,146,129,3.55,1280,10.4,0.0,0.31,0.92,0.0,,0.0,16.49,N,N,"",N,N
HV0003,B02512,B02512,2021-01-01T00:10:26.000Z,2021-01-01T00:13:53.000Z,2021-01-01T00:14:21.000Z,2021-01-01T00:21:16.000Z,37,225,1.03,415,7.91,0.0,0.24,0.7,0.0,,0.0,5.39,N,N,"",N,N
HV0003,B02512,B02512,2021-01-01T00:24:23.000Z,2021-01-01T00:26:25.000Z,2021-01-01T00:26:37.000Z,2021-01-01T01:08:20.000Z,225,47,16.02,2503,35.62,6.12,1.25,3.7,0.0,,0.0,38.62,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:12:42.000Z,2021-01-01T00:17:11.000Z,2021-01-01T00:19:11.000Z,2021-01-01T00:33:49.000Z,81,32,2.65,878,13.53,0.0,0.41,1.2,0.0,,0.0,11.72,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:28:07.000Z,2021-01-01T00:37:51.000Z,2021-01-01T00:39:51.000Z,2021-01-01T00:58:51.000Z,32,126,4.42,1140,20.86,0.0,0.63,1.85,0.0,,0.0,15.86,N,N,"",N,N
HV0005,B02510,,2021-01-01T00:08:48.000Z,,2021-01-01T00:11:59.000Z,2021-01-01T00:32:27.000Z,119,75,5.431,1228,14.59,0.14,0.44,1.31,0.0,,0.0,18.07,N,N,N,N,Y
HV0005,B02510,,2021-01-01T00:33:14.000Z,,2021-01-01T00:39:10.000Z,2021-01-01T01:01:57.000Z,75,129,7.919,1367,21.26,5.5,0.8,2.37,2.75,,0.0,22.8,N,N,N,N,Y
HV0005,B02510,,2021-01-01T00:10:36.000Z,,2021-01-01T00:14:44.000Z,2021-01-01T00:37:27.000Z,205,95,8.498,1363,25.02,0.0,0.75,2.22,0.0,,0.0,20.85,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:35:31.000Z,,2021-01-01T00:45:29.000Z,2021-01-01T01:09:46.000Z,82,244,11.159,1457,32.13,5.78,1.14,3.36,0.0,,0.0,24.59,N,N,N,N,N
HV0003,B02764,B02764,2021-01-01T00:02:10.000Z,2021-01-01T00:05:53.000Z,2021-01-01T00:06:49.000Z,2021-01-01T00:20:07.000Z,138,42,6.83,798,19.92,6.12,0.78,2.31,0.0,,0.0,17.17,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:24:51.000Z,2021-01-01T00:25:12.000Z,2021-01-01T00:27:12.000Z,2021-01-01T00:47:00.000Z,42,182,6.96,1188,23.78,0.0,0.9,2.65,0.0,,0.0,20.58,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:45:12.000Z,2021-01-01T00:50:12.000Z,2021-01-01T00:52:12.000Z,2021-01-01T01:06:40.000Z,250,32,2.39,868,15.94,0.0,0.48,1.41,0.0,,0.0,12.85,N,N,"",N,N
